Field_ID,Area_m2,Area_ha,Suitability_Class,Final_Score,Water_Access,Water_Score,Soil_Score,Terrain_Score,Stream_Distance_m,Texture,pH,Tier,Primary_Crop,Secondary_Crop,Kharif_Recommendation,Rabi_Recommendation,Limiting_Factor,Key_Interventions,WKT
428,281,0.03,Moderately Suitable,2.5,Very Low Access,1,4,4,799.5,Clay Loam,8.033333333333333,3,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37159924945674 26.195905016628696, 66.37173755615359 26.195934410480074, 66.37174282325104 26.195921076590086, 66.37177242797222 26.195930616307255, 66.37173919077004 26.19608233256318, 66.37157127936067 26.19604339885272, 66.37159924945674 26.195905016628696))"
189,905,0.09,Moderately Suitable,3.05,Very High Access,4,3,4,9.6,Clay Loam,8.133333333333333,1,Guar / Cluster Bean,Cumin,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36526106159027 26.204626564042552, 66.36527223134028 26.204568550112224, 66.36565690676927 26.204687563111808, 66.36568060845096 26.20473729255888, 66.36562248938654 26.20489299178122, 66.36543995923914 26.204840400537652, 66.36530238058532 26.20477516701349, 66.36526887133417 26.204720769308164, 66.36525515887695 26.20466683611051, 66.36526106159027 26.204626564042552))"
54,976,0.1,Marginally Suitable,2.15,Very Low Access,1,3,4,795.0,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3674425270792 26.219551142822937, 66.36770115780347 26.21953342042667, 66.36763386658177 26.219872619973028, 66.36748693382077 26.220004341595576, 66.36742291183252 26.219761247277955, 66.3674425270792 26.219551142822937))"
192,1046,0.1,Moderately Suitable,2.9,Very High Access,4,3,3,7.8,Clay Loam,8.133333333333333,1,Pomegranate,Dragon Fruit,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3618859002843 26.203686729308362, 66.36193094225747 26.203669694920812, 66.36203573750753 26.203649200303847, 66.36214035115633 26.203633168183643, 66.36254736382013 26.20364065635938, 66.36249814451301 26.203841310350022, 66.36184031345223 26.203726224495966, 66.3618859002843 26.203686729308362))"
104,1109,0.11,Marginally Suitable,2.45,Low Access,2,3,4,289.7,Clay Loam,8.233333333333333,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37307176800948 26.212800913654462, 66.37331405512023 26.212845628080572, 66.37328109026355 26.213207846375642, 66.37300819944451 26.213198358909036, 66.37307176800948 26.212800913654462))"
289,1236,0.12,Moderately Suitable,2.75,High Access,3,3,4,86.3,Clay Loam,8.066666666666668,1,Pomegranate,Dragon Fruit,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35139548778648 26.20647701122292, 66.35138005030511 26.206499091136344, 66.35112260766434 26.206467481495892, 66.35059310255866 26.206386038103023, 66.35058393089174 26.20613508354763, 66.35139548778648 26.20647701122292))"
10,1267,0.13,Marginally Suitable,1.8499999999999999,Very Low Access,1,3,2,837.2,Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36459033213319 26.219843737496834, 66.36459105862012 26.21981240615555, 66.36493314325666 26.21983655391919, 66.36486240155331 26.22011299621084, 66.36479084256081 26.220201230528012, 66.3645530088686 26.220178969848902, 66.36459033213319 26.219843737496834))"
264,1282,0.13,Moderately Suitable,2.75,Moderate Access,3,3,4,105.6,Clay Loam,7.900000095367432,2,Pomegranate,Moringa,Guar / Cluster Bean,Isabgol (Psyllium),"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35536275309742 26.197040610020807, 66.35562882459544 26.197130676373188, 66.35559241002454 26.197201608179597, 66.35554046704974 26.197303679533057, 66.35543776163655 26.197454098009516, 66.35511275497649 26.19733617288205, 66.35536275309742 26.197040610020807))"
107,1335,0.13,Marginally Suitable,2.45,Low Access,2,3,4,271.4,Clay Loam,8.233333333333333,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3730823022295 26.212330761194814, 66.37334556698227 26.21232662223152, 66.37333076457999 26.212765339052435, 66.3732655613648 26.212795501636627, 66.37319109530657 26.212794125189973, 66.37314187506375 26.212775332364554, 66.37305796454903 26.21275137384509, 66.3730823022295 26.212330761194814))"
89,1391,0.14,Marginally Suitable,2.15,Very Low Access,1,3,4,693.3,Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36831458894918 26.21853241397083, 66.36868691610105 26.218539237954094, 66.3686446887409 26.218869899449242, 66.36828244168962 26.21885880249917, 66.36826564156883 26.218724121196576, 66.36831458894918 26.21853241397083))"
88,1621,0.16,Marginally Suitable,2.15,Very Low Access,1,3,4,651.5,Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36868691610105 26.218539237954094, 66.36912281161779 26.21858752496751, 66.36912853274869 26.218775740233472, 66.36908112909433 26.218895811660243, 66.3686446887409 26.218869899449242, 66.36868691610105 26.218539237954094))"
66,1636,0.16,Marginally Suitable,2.45,Low Access,2,3,4,267.6,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37279542642874 26.218466541229386, 66.3730030231474 26.218510674797653, 66.37300311395963 26.218730139607572, 66.37308702446613 26.218749606166977, 66.37305632992874 26.219013338209326, 66.37271433114348 26.21898465224951, 66.37279542642874 26.218466541229386))"
12,1688,0.17,Marginally Suitable,1.8499999999999999,Very Low Access,1,3,2,779.8,Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Sorghum (Jowar),Pearl Millet (Bajra),Sorghum (Jowar),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36493023730718 26.219307971882827, 66.36494903516814 26.219353119140127, 66.36496710654232 26.219434091773387, 66.36496547194564 26.21950571101115, 66.36490880593023 26.21959423972448, 66.36489591078009 26.219728431597066, 66.36458778942895 26.219736205767674, 66.36457807266645 26.219288096765002, 66.36493023730718 26.219307971882827))"
317,1768,0.18,Moderately Suitable,2.75,Moderate Access,3,3,4,124.9,Clay Loam,8.100000381469727,2,Pomegranate,Moringa,Guar / Cluster Bean,Isabgol (Psyllium),"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35474179901783 26.20605483053062, 66.35486938604546 26.20568540026669, 66.35520501725577 26.205772196172827, 66.35519448337271 26.20579894338264, 66.35508097171453 26.206208887075192, 66.3547210945065 26.20609482117642, 66.35474179901783 26.20605483053062))"
40,1789,0.18,Moderately Suitable,3.05,Very High Access,4,3,4,9.9,Clay Loam,8.033333333333333,1,Pomegranate,Dragon Fruit,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3657636097503 26.212295357272072, 66.36621248898193 26.2124289912265, 66.36610533185971 26.2127763784934, 66.36566707760574 26.212611601399104, 66.3657636097503 26.212295357272072))"
318,1832,0.18,Moderately Suitable,2.75,High Access,3,3,4,95.5,Clay Loam,8.11111111111111,1,Pomegranate,Dragon Fruit,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35519448337271 26.20579894338264, 66.35548997702993 26.205907350660546, 66.35548389280122 26.2059565762417, 66.35560267148693 26.205972177570445, 66.35550605029113 26.20629288461182, 66.35508097171453 26.206208887075192, 66.35519448337271 26.20579894338264))"
134,1914,0.19,Moderately Suitable,3.05,Very High Access,4,3,4,5.2,Clay Loam,8.033333333333333,1,Pomegranate,Dragon Fruit,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36513220083197 26.211226679444046, 66.36544804141855 26.21131307732011, 66.36536104448241 26.211647425717334, 66.36527749837694 26.211829489189963, 66.36500960605778 26.211820172532832, 66.36513220083197 26.211226679444046))"
106,1948,0.19,Moderately Suitable,2.5999999999999996,Moderate Access,3,3,3,197.8,Clay Loam,8.233333333333333,2,Pomegranate,Moringa,Guar / Cluster Bean,Isabgol (Psyllium),"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.37360283824489 26.212371643515073, 66.37403882839469 26.21241542119177, 66.37411774437341 26.212439276371793, 66.37415143577851 26.21248463203316, 66.37416496682859 26.212547607556353, 66.37412228499393 26.212676732432282, 66.37407197492064 26.212707187772164, 66.37399732713068 26.212714768893537, 66.37383331997738 26.212720766603084, 66.37357096311912 26.21268461545681, 66.37354653460515 26.212666219733997, 66.37360283824489 26.212371643515073))"
304,1960,0.2,Moderately Suitable,2.75,Moderate Access,3,3,4,209.4,Clay Loam,8.100000381469727,2,Pomegranate,Moringa,Guar / Cluster Bean,Isabgol (Psyllium),"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35384732850711 26.205648682652573, 66.35392606001615 26.20545757226929, 66.35425587886952 26.205584570165506, 66.35418250505482 26.20575787174547, 66.35413328648653 26.205739073884935, 66.35399689114108 26.206059067249917, 66.35369122765883 26.205963900182795, 66.35384732850711 26.205648682652573))"
175,1962,0.2,Moderately Suitable,2.75,Moderate Access,3,3,4,136.6,Clay Loam,8.233333333333333,2,Pomegranate,Moringa,Guar / Cluster Bean,Isabgol (Psyllium),"Climate (low rainfall 164mm, high heat 42.8°C)",Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.3609097798673 26.205357488501278, 66.36120691114105 26.205389852833108, 66.36110456792468 26.205965743899707, 66.36080253295192 26.20592888195142, 66.3609097798673 26.205357488501278))"
398,2148,0.21,Marginally Suitable,2.45,Low Access,2,3,4,345.3,Clay Loam,8.133333333333333,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Low/Moderate),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36987318838189 26.20046475695239, 66.36990978550742 26.200380280289718, 66.3699361209094 26.200313613572384, 66.36998788359968 26.200220486996773, 66.37002929375534 26.200145069829457, 66.37007034066704 26.20008756706278, 66.3701356343226 26.200052922460525, 66.37021055403409 26.20003190284475, 66.37029028678049 26.20001994286816, 66.3703697471028 26.200021418701773, 66.37043885488943 26.20003610971687, 66.370493251169 26.20004604619545, 66.37053248187806 26.20006921172884, 66.37055155236264 26.200105334282938, 66.37055028099698 26.200159046342748, 66.37053411649102 26.200217045933925, 66.3705084167437 26.2002568570277, 66.37046282920898 26.200296358801666, 66.37043758352404 26.20031377673122, 66.370412428652 26.200331295187873, 66.3703722898333 26.200348421440747, 66.37031725788292 26.20036534080786, 66.37025269070047 26.200368650824274, 66.37022771746031 26.20037263282495, 66.37019266411419 26.20038546764198, 66.37013717812259 26.200424779959572, 66.3701070286172 26.200442111022184, 66.37007197527862 26.200454945777572, 66.37002193800377 26.200471967417606, 66.36997199154514 26.200484425618317, 66.3699420236721 26.200492884193114, 66.36989707186552 26.200505444836455, 66.369877093286 26.200509614020724, 66.36986710399648 26.200513903384092, 66.36984721622973 26.20051350915782, 66.36987318838189 26.20046475695239))"
59,2272,0.23,Marginally Suitable,2.15,Very Low Access,1,3,4,594.2,Clay Loam,8.100000381469727,4,Pearl Millet (Bajra),Castor,Pearl Millet (Bajra),Isabgol (Psyllium),Water Access (Very Low - >500m from stream),Water harvesting / check dams on seasonal streams; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.36980235524248 26.219065820921138, 66.36977265981363 26.219504224690922, 66.36931088247567 26.21950020580514, 66.36932059932035 26.2190703792962, 66.36980235524248 26.219065820921138))"
149,2359,0.24,Moderately Suitable,3.05,Very High Access,4,3,4,10.3,Clay Loam,8.166666666666668,1,Dragon Fruit,Date Palm,Guar / Cluster Bean,Cumin,"Climate (low rainfall 164mm, high heat 42.8°C)",Drainage amendment (raised beds/gypsum for clay loam); Drip irrigation system; Organic matter improvement (compost/FYM for low SOC),"POLYGON ((66.35541678467119 26.207608102523135, 66.35546582173428 26.207635941373002, 66.3554952439742 26.20764986355479, 66.35595601098396 26.207913704303238, 66.35579582311942 26.208192942167663, 66.3552166408511 26.207895585369727, 66.35541678467119 26.207608102523135))"
